query,title,description,combined_score,bm25_score,semantic_score
i am love,Le passé,"Le passé An Iranian man deserts his French wife and her two children to return to his homeland. Meanwhile, his wife starts up a new relationship, a reality her husband confronts upon his wife's request for a divorce. Asghar Farhadi Bérénice Bejo Tahar Rahim Ali Mosaffa Pauline Burlet PG-13 2013",0.5182431834380721,4.3534104995510985,0.0
i am love,Marriage Story,Marriage Story Noah Baumbach's incisive and compassionate look at a marriage breaking up and a family staying together. Noah Baumbach Adam Driver Scarlett Johansson Julia Greer Azhy Robertson U 2019,0.4957270365534665,4.164267577097995,0.0
i am love,Sholay,"Sholay After his family is murdered by a notorious and ruthless bandit, a former police officer enlists the services of two outlaws to capture the bandit. Ramesh Sippy Sanjeev Kumar Dharmendra Amitabh Bachchan Amjad Khan U 1975",0.4957270365534665,4.164267577097995,0.0
i am love,As Good as It Gets,"As Good as It Gets A single mother and waitress, a misanthropic author, and a gay artist form an unlikely friendship after the artist is assaulted in a robbery. James L. Brooks Jack Nicholson Helen Hunt Greg Kinnear Cuba Gooding Jr. A 1997",0.4957270365534665,4.164267577097995,0.0
i am love,Rockstar,"Rockstar Janardhan Jakhar chases his dreams of becoming a big Rock star, during which he falls in love with Heer. Imtiaz Ali Ranbir Kapoor Nargis Fakhri Shammi Kapoor Kumud Mishra UA 2011",0.47508594514030944,3.990875727572646,0.0
i am love,Fiddler on the Roof,"Fiddler on the Roof In prerevolutionary Russia, a Jewish peasant contends with marrying off three of his daughters while growing anti-Semitic sentiment threatens his village. Norman Jewison Topol Norma Crane Leonard Frey Molly Picon G 1971",0.47508594514030944,3.990875727572646,0.0
fantastic four dr doom 2015,Thor: Ragnarok,"Thor: Ragnarok Imprisoned on the planet Sakaar, Thor must race against time to return to Asgard and stop Ragnarök, the destruction of his world, at the hands of the powerful and ruthless villain Hela. Taika Waititi Chris Hemsworth Tom Hiddleston Cate Blanchett Mark Ruffalo UA 2017",0.6,9.098512401619212,0.0
fantastic four dr doom 2015,Taken,"Taken A retired CIA agent travels across Europe and relies on his old skills to save his estranged daughter, who has been kidnapped while on a trip to Paris. Pierre Morel Liam Neeson Maggie Grace Famke Janssen Leland Orser A 2008",0.5322504343884855,8.071145296751414,0.0
fantastic four dr doom 2015,Batman: Mask of the Phantasm,Batman: Mask of the Phantasm Batman is wrongly implicated in a series of murders of mob bosses actually done by a new vigilante assassin. Kevin Altieri Boyd Kirkland Frank Paur Dan Riba Eric Radomski PG 1993,0.5199244234177842,7.884231357285714,0.0
fantastic four dr doom 2015,The Royal Tenenbaums,The Royal Tenenbaums The eccentric members of a dysfunctional family reluctantly gather under the same roof for various reasons. Wes Anderson Gene Hackman Gwyneth Paltrow Anjelica Huston Ben Stiller A 2001,0.4790692994764106,7.264696604201917,0.0
fantastic four dr doom 2015,Trois couleurs: Rouge,Trois couleurs: Rouge A model discovers a retired judge is keen on invading people's privacy. Krzysztof Kieslowski Irène Jacob Jean-Louis Trintignant Frédérique Feder Jean-Pierre Lorit U 1994,0.4,0.0,0.2537471915745945
fantastic four dr doom 2015,Boogie Nights,"Boogie Nights Back when sex was safe, pleasure was a business and business was booming, an idealistic porn producer aspires to elevate his craft to an art when he discovers a hot young talent. Paul Thomas Anderson Mark Wahlberg Julianne Moore Burt Reynolds Luis Guzmán R 1997",0.39522492741333853,5.993264839165523,0.0
fantastic four dr doom 2015,Togo,"Togo The story of Togo, the sled dog who led the 1925 serum run yet was considered by most to be too small and weak to lead such an intense race. Ericson Core Willem Dafoe Julianne Nicholson Christopher Heyerdahl Richard Dormer U 2019",0.39522492741333853,5.993264839165523,0.0
fantastic four dr doom 2015,Primal Fear,"Primal Fear An altar boy is accused of murdering a priest, and the truth is buried several layers deep. Gregory Hoblit Richard Gere Laura Linney Edward Norton John Mahoney A 1996",0.3877980843621612,0.0,0.2460066870122652
fantastic four dr doom 2015,Sleepers,"Sleepers After a prank goes disastrously wrong, a group of boys are sent to a detention center where they are brutalized. Thirteen years later, an unexpected random encounter with a former guard gives them a chance for revenge. Barry Levinson Robert De Niro Kevin Bacon Brad Pitt Jason Patric UA 1996",0.3860238852160367,0.0,0.24488119188570737
fantastic four dr doom 2015,Scarface: The Shame of the Nation,"Scarface: The Shame of the Nation An ambitious and nearly insane violent gangster climbs the ladder of success in the mob, but his weaknesses prove to be his downfall. Howard Hawks Richard Rosson Paul Muni Ann Dvorak Karen Morley PG 1932",0.38003361679688563,5.762900959097778,0.0
sacha baron cohen borat,The Breakfast Club,The Breakfast Club Five high school students meet in Saturday detention and discover how they have a lot more in common than they thought. John Hughes Emilio Estevez Judd Nelson Molly Ringwald Ally Sheedy UA 1985,0.6,4.817869080422037,0.0
sacha baron cohen borat,One Flew Over the Cuckoo's Nest,"One Flew Over the Cuckoo's Nest A criminal pleads insanity and is admitted to a mental institution, where he rebels against the oppressive nurse and rallies up the scared patients. Milos Forman Jack Nicholson Louise Fletcher Michael Berryman Peter Brocco A 1975",0.4,0.0,0.3569055466446535
sacha baron cohen borat,The Trial of the Chicago 7,"The Trial of the Chicago 7 The story of 7 people on trial stemming from various charges surrounding the uprising at the 1968 Democratic National Convention in Chicago, Illinois. Aaron Sorkin Eddie Redmayne Alex Sharp Sacha Baron Cohen Jeremy Strong R 2020",0.3940254002084467,0.0,0.35157462713318505
sacha baron cohen borat,Saw,"Saw Two strangers awaken in a room with no recollection of how they got there, and soon discover they're pawns in a deadly game perpetrated by a notorious serial killer. James Wan Cary Elwes Leigh Whannell Danny Glover Ken Leung UA 2004",0.3741968047467479,0.0,0.3338822878770518
sacha baron cohen borat,Giù la testa,Giù la testa A low-life bandit and an I.R.A. explosives expert rebel against the government and become heroes of the Mexican Revolution. Sergio Leone Rod Steiger James Coburn Romolo Valli Maria Monti PG 1971,0.37020243041264494,0.0,0.3303182519890108
sacha baron cohen borat,Sunset Blvd.,Sunset Blvd. A screenwriter develops a dangerous relationship with a faded film star determined to make a triumphant return. Billy Wilder William Holden Gloria Swanson Erich von Stroheim Nancy Olson Passed 1950,0.3531436320433442,0.0,0.31509730259627033
sacha baron cohen borat,The Hangover,"The Hangover Three buddies wake up from a bachelor party in Las Vegas, with no memory of the previous night and the bachelor missing. They make their way around the city in order to find their friend before his wedding. Todd Phillips Zach Galifianakis Bradley Cooper Justin Bartha Ed Helms UA 2009",0.35147005025000516,0.0,0.3136040260342548
sacha baron cohen borat,Halloween,"Halloween Fifteen years after murdering his sister on Halloween night 1963, Michael Myers escapes from a mental hospital and returns to the small town of Haddonfield, Illinois to kill again. John Carpenter Donald Pleasence Jamie Lee Curtis Tony Moran Nancy Kyes A 1978",0.3430457808433913,0.0,0.30608735484013144
sacha baron cohen borat,Rang De Basanti,"Rang De Basanti The story of six young Indians who assist an English woman to film a documentary on the freedom fighters from their past, and the events that lead them to relive the long-forgotten saga of freedom. Rakeysh Omprakash Mehra Aamir Khan Soha Ali Khan Siddharth Sharman Joshi UA 2006",0.33843167036032273,0.0,0.30197035077953543
sacha baron cohen borat,Hannah and Her Sisters,"Hannah and Her Sisters Between two Thanksgivings two years apart, Hannah's husband falls in love with her sister Lee, while her hypochondriac ex-husband rekindles his relationship with her sister Holly. Woody Allen Mia Farrow Dianne Wiest Michael Caine Barbara Hershey PG-13 1986",0.32955784938815935,0.0,0.2940525609672935
sierra burgess,The Gold Rush,The Gold Rush A prospector goes to the Klondike in search of gold and finds it and more. Charles Chaplin Charles Chaplin Mack Swain Tom Murray Henry Bergman Passed 1925,0.6,8.042251061382727,0.0
sierra burgess,Serbuan maut 2: Berandal,"Serbuan maut 2: Berandal Only a short time after the first raid, Rama goes undercover with the thugs of Jakarta and plans to bring down the syndicate and uncover the corruption within his police force. Gareth Evans Iko Uwais Yayan Ruhian Arifin Putra Oka Antara A 2014",0.4,0.0,0.30241655798128225
sierra burgess,Braveheart,Braveheart Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from the tyranny of King Edward I of England. Mel Gibson Mel Gibson Sophie Marceau Patrick McGoohan Angus Macfadyen A 1995,0.3969180745293046,0.0,0.30008649474927584
sierra burgess,The Treasure of the Sierra Madre,The Treasure of the Sierra Madre Two Americans searching for work in Mexico convince an old prospector to help them mine for gold in the Sierra Madre Mountains. John Huston Humphrey Bogart Walter Huston Tim Holt Bruce Bennett Passed 1948,0.3843254176715735,0.0,0.2905659248923898
sierra burgess,The Last Picture Show,"The Last Picture Show In 1951, a group of high schoolers come of age in a bleak, isolated, atrophied North Texas town that is slowly dying, both culturally and economically. Peter Bogdanovich Timothy Bottoms Jeff Bridges Cybill Shepherd Ben Johnson R 1971",0.37722721610785415,0.0,0.2851993906804964
sierra burgess,The Avengers,The Avengers Earth's mightiest heroes must come together and learn to fight as a team if they are going to stop the mischievous Loki and his alien army from enslaving humanity. Joss Whedon Robert Downey Jr. Chris Evans Scarlett Johansson Jeremy Renner UA 2012,0.3596305308163404,0.0,0.2718955681861478
sierra burgess,A Little Princess,A Little Princess A young girl is relegated to servitude at a boarding school when her father goes missing and is presumed dead. Alfonso Cuarón Liesel Matthews Eleanor Bron Liam Cunningham Rusty Schwimmer U 1995,0.357808928286398,0.0,0.2705183612683598
sierra burgess,Les yeux sans visage,"Les yeux sans visage A surgeon causes an accident which leaves his daughter disfigured, and goes to extremes to give her a new face. Georges Franju Pierre Brasseur Alida Valli Juliette Mayniel Alexandre Rignault nan 1960",0.3575182529047927,0.0,0.27029859864737243
sierra burgess,Pride,Pride U.K. gay activists work to help miners during their lengthy strike of the National Union of Mineworkers in the summer of 1984. Matthew Warchus Bill Nighy Imelda Staunton Dominic West Paddy Considine R 2014,0.33083423546350194,0.0,0.2501243768781033
sierra burgess,Dil Bechara,"Dil Bechara The emotional journey of two hopelessly in love youngsters, a young girl, Kizie, suffering from cancer, and a boy, Manny, whom she meets at a support group. Mukesh Chhabra Sushant Singh Rajput Sanjana Sanghi Sahil Vaid Saswata Chatterjee UA 2020",0.32934302594255516,0.0,0.2489969607517192
simba the lion king 2019,Nuovo Cinema Paradiso,Nuovo Cinema Paradiso A filmmaker recalls his childhood when falling in love with the pictures at the cinema of his home village and forms a deep friendship with the cinema's projectionist. Giuseppe Tornatore Philippe Noiret Enzo Cannavale Antonella Attili Isa Danieli U 1988,0.6,20.642172932242055,0.0
simba the lion king 2019,The Lion King,"The Lion King Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself. Roger Allers Rob Minkoff Matthew Broderick Jeremy Irons James Earl Jones U 1994",0.4,0.0,0.5006829738993572
simba the lion king 2019,Terminator 2: Judgment Day,"Terminator 2: Judgment Day A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her teenage son, John Connor, from a more advanced and powerful cyborg. James Cameron Arnold Schwarzenegger Linda Hamilton Edward Furlong Robert Patrick U 1991",0.3278949232450973,0.0,0.4104285132421419
simba the lion king 2019,Charade,Charade Romance and suspense ensue in Paris as a woman is pursued by several men who want a fortune her murdered husband had stolen. Whom can she trust? Stanley Donen Cary Grant Audrey Hepburn Walter Matthau James Coburn U 1963,0.3277123453779922,11.274491508871918,0.0
simba the lion king 2019,The Bridge on the River Kwai,"The Bridge on the River Kwai British POWs are forced to build a railway bridge across the river Kwai for their Japanese captors, not knowing that the allied forces are planning to destroy it. David Lean William Holden Alec Guinness Jack Hawkins Sessue Hayakawa PG 1957",0.29192161030307223,0.0,0.3654004499800786
simba the lion king 2019,The Lion in Winter,"The Lion in Winter 1183 A.D.: King Henry II's three sons all want to inherit the throne, but he won't commit to a choice. They and his wife variously plot to force him. Anthony Harvey Peter O'Toole Katharine Hepburn Anthony Hopkins John Castle PG 1968",0.28394408859770454,0.0,0.35541492675060316
simba the lion king 2019,Blowup,Blowup A fashion photographer unknowingly captures a death on film after following two lovers in a park. Michelangelo Antonioni David Hemmings Vanessa Redgrave Sarah Miles John Castle A 1966,0.2819738685244927,0.0,0.3529487876368734
simba the lion king 2019,The Big Sleep,"The Big Sleep Private detective Philip Marlowe is hired by a wealthy family. Before the complex case is over, he's seen murder, blackmail, and what might be love. Howard Hawks Humphrey Bogart Lauren Bacall John Ridgely Martha Vickers Passed 1946",0.2817503955279297,0.0,0.35266906482561
simba the lion king 2019,Scarface: The Shame of the Nation,"Scarface: The Shame of the Nation An ambitious and nearly insane violent gangster climbs the ladder of success in the mob, but his weaknesses prove to be his downfall. Howard Hawks Richard Rosson Paul Muni Ann Dvorak Karen Morley PG 1932",0.26599288396072795,0.0,0.3329452704438098
simba the lion king 2019,Cidade de Deus,"Cidade de Deus In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin. Fernando Meirelles Kátia Lund Alexandre Rodrigues Leandro Firmino Matheus Nachtergaele A 2002",0.26563044509840833,0.0,0.3324916030252026
imdb avengers endgame,Coco,"Coco Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer. Lee Unkrich Adrian Molina Anthony Gonzalez Gael García Bernal Benjamin Bratt U 2017",0.6,16.247021619601934,0.0
imdb avengers endgame,Avengers: Endgame,"Avengers: Endgame After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe. Anthony Russo Joe Russo Robert Downey Jr. Chris Evans Mark Ruffalo UA 2019",0.4,0.0,0.46884252263299925
imdb avengers endgame,Being There,"Being There A simpleminded, sheltered gardener becomes an unlikely trusted advisor to a powerful businessman and an insider in Washington politics. Hal Ashby Peter Sellers Shirley MacLaine Melvyn Douglas Jack Warden PG 1979",0.29371443808686687,0.0,0.34426454521595135
imdb avengers endgame,Kingsman: The Secret Service,"Kingsman: The Secret Service A spy organisation recruits a promising street kid into the agency's training program, while a global threat emerges from a twisted tech genius. Matthew Vaughn Colin Firth Taron Egerton Samuel L. Jackson Michael Caine A 2014",0.2730958806083897,0.0,0.3200974039627945
imdb avengers endgame,Moneyball,Moneyball Oakland A's general manager Billy Beane's successful attempt to assemble a baseball team on a lean budget by employing computer-generated analysis to acquire new players. Bennett Miller Brad Pitt Robin Wright Jonah Hill Philip Seymour Hoffman PG-13 2011,0.2690827677873428,0.0,0.31539360911621833
imdb avengers endgame,Efter brylluppet,"Efter brylluppet A manager of an orphanage in India is sent to Copenhagen, Denmark, where he discovers a life-altering family secret. Susanne Bier Mads Mikkelsen Sidse Babett Knudsen Rolf Lassgård Neeral Mulchandani R 2006",0.2632329898102388,0.0,0.30853704745714733
imdb avengers endgame,Avengers: Infinity War,Avengers: Infinity War The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe. Anthony Russo Joe Russo Robert Downey Jr. Chris Hemsworth Mark Ruffalo UA 2018,0.25992907399301574,0.0,0.3046645068913625
imdb avengers endgame,The Sound of Music,The Sound of Music A woman leaves an Austrian convent to become a governess to the children of a Naval officer widower. Robert Wise Julie Andrews Christopher Plummer Eleanor Parker Richard Haydn U 1965,0.25588094399181743,0.0,0.29991966818709215
imdb avengers endgame,Les triplettes de Belleville,"Les triplettes de Belleville When her grandson is kidnapped during the Tour de France, Madame Souza and her beloved pooch Bruno team up with the Belleville Sisters--an aged song-and-dance team from the days of Fred Astaire--to rescue him. Sylvain Chomet Michèle Caucheteux Jean-Claude Donda Michel Robin Monica Viegas PG-13 2003",0.2541258496974208,0.0,0.29786251109598294
imdb avengers endgame,The French Connection,The French Connection A pair of NYC cops in the Narcotics Bureau stumble onto a drug smuggling job with a French connection. William Friedkin Gene Hackman Roy Scheider Fernando Rey Tony Lo Bianco A 1971,0.24543817829809533,0.0,0.2876796366593171
