index,movie_name,document
12,"Il buono, il brutto, il cattivo","Il buono, il brutto, il cattivo A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery. Sergio Leone Clint Eastwood Eli Wallach Lee Van Cleef Aldo Giuffrè A 1966"
13,The Lord of the Rings: The Two Towers,"The Lord of the Rings: The Two Towers While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard. Peter Jackson Elijah Wood Ian McKellen Viggo Mortensen Orlando Bloom UA 2002"
14,The Matrix,"The Matrix When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence. Lana Wachowski Lilly Wachowski Keanu Reeves Laurence Fishburne Carrie-Anne Moss A 1999"
15,Goodfellas,"Goodfellas The story of Henry Hill and his life in the mob, covering his relationship with his wife Karen Hill and his mob partners Jimmy Conway and Tommy DeVito in the Italian-American crime syndicate. Martin Scorsese Robert De Niro Ray Liotta Joe Pesci Lorraine Bracco A 1990"
16,Star Wars: Episode V - The Empire Strikes Back,"Star Wars: Episode V - The Empire Strikes Back After the Rebels are brutally overpowered by the Empire on the ice planet Hoth, Luke Skywalker begins Jedi training with Yoda, while his friends are pursued by Darth Vader and a bounty hunter named Boba Fett all over the galaxy. Irvin Kershner Mark Hamill Harrison Ford Carrie Fisher Billy Dee Williams UA 1980"
17,One Flew Over the Cuckoo's Nest,"One Flew Over the Cuckoo's Nest A criminal pleads insanity and is admitted to a mental institution, where he rebels against the oppressive nurse and rallies up the scared patients. Milos Forman Jack Nicholson Louise Fletcher Michael Berryman Peter Brocco A 1975"
18,Hamilton,"Hamilton The real life of one of America's foremost founding fathers and first Secretary of the Treasury, Alexander Hamilton. Captured live on Broadway from the Richard Rodgers Theater with the original Broadway cast. Thomas Kail Lin-Manuel Miranda Phillipa Soo Leslie Odom Jr. Renée Elise Goldsberry PG-13 2020"
19,Gisaengchung,Gisaengchung Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan. Bong Joon Ho Kang-ho Song Lee Sun-kyun Cho Yeo-jeong Choi Woo-sik A 2019
20,Soorarai Pottru,"Soorarai Pottru Nedumaaran Rajangam ""Maara"" sets out to make the common man fly and in the process takes on the world's most capital intensive industry and several enemies who stand in his way. Sudha Kongara Suriya Madhavan Paresh Rawal Aparna Balamurali U 2020"
21,Interstellar,Interstellar A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival. Christopher Nolan Matthew McConaughey Anne Hathaway Jessica Chastain Mackenzie Foy UA 2014
22,Cidade de Deus,"Cidade de Deus In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin. Fernando Meirelles Kátia Lund Alexandre Rodrigues Leandro Firmino Matheus Nachtergaele A 2002"
23,Sen to Chihiro no kamikakushi,"Sen to Chihiro no kamikakushi During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches, and spirits, and where humans are changed into beasts. Hayao Miyazaki Daveigh Chase Suzanne Pleshette Miyu Irino Rumi Hiiragi U 2001"
24,Saving Private Ryan,"Saving Private Ryan Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action. Steven Spielberg Tom Hanks Matt Damon Tom Sizemore Edward Burns R 1998"
25,The Green Mile,"The Green Mile The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder and rape, yet who has a mysterious gift. Frank Darabont Tom Hanks Michael Clarke Duncan David Morse Bonnie Hunt A 1999"
26,La vita è bella,"La vita è bella When an open-minded Jewish librarian and his son become victims of the Holocaust, he uses a perfect mixture of will, humor, and imagination to protect his son from the dangers around their camp. Roberto Benigni Roberto Benigni Nicoletta Braschi Giorgio Cantarini Giustino Durano U 1997"
27,Se7en,"Se7en Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives. David Fincher Morgan Freeman Brad Pitt Kevin Spacey Andrew Kevin Walker A 1995"
28,The Silence of the Lambs,"The Silence of the Lambs A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims. Jonathan Demme Jodie Foster Anthony Hopkins Lawrence A. Bonney Kasi Lemmons A 1991"
29,Star Wars,"Star Wars Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader. George Lucas Mark Hamill Harrison Ford Carrie Fisher Alec Guinness UA 1977"
30,Seppuku,"Seppuku When a ronin requesting seppuku at a feudal lord's palace is told of the brutal suicide of another ronin who previously visited, he reveals how their pasts are intertwined - and in doing so challenges the clan's integrity. Masaki Kobayashi Tatsuya Nakadai Akira Ishihama Shima Iwashita Tetsurô Tanba nan 1962"
31,Shichinin no samurai,Shichinin no samurai A poor village under attack by bandits recruits seven unemployed samurai to help them defend themselves. Akira Kurosawa Toshirô Mifune Takashi Shimura Keiko Tsushima Yukiko Shimazaki U 1954
32,It's a Wonderful Life,It's a Wonderful Life An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed. Frank Capra James Stewart Donna Reed Lionel Barrymore Thomas Mitchell PG 1946
33,Joker,"Joker In Gotham City, mentally troubled comedian Arthur Fleck is disregarded and mistreated by society. He then embarks on a downward spiral of revolution and bloody crime. This path brings him face-to-face with his alter-ego: the Joker. Todd Phillips Joaquin Phoenix Robert De Niro Zazie Beetz Frances Conroy A 2019"
34,Whiplash,Whiplash A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential. Damien Chazelle Miles Teller J.K. Simmons Melissa Benoist Paul Reiser A 2014
35,The Intouchables,"The Intouchables After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver. Olivier Nakache Éric Toledano François Cluzet Omar Sy Anne Le Ny UA 2011"
36,The Prestige,"The Prestige After a tragic accident, two stage magicians engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other. Christopher Nolan Christian Bale Hugh Jackman Scarlett Johansson Michael Caine U 2006"
37,The Departed,The Departed An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston. Martin Scorsese Leonardo DiCaprio Matt Damon Jack Nicholson Mark Wahlberg A 2006
38,The Pianist,The Pianist A Polish Jewish musician struggles to survive the destruction of the Warsaw ghetto of World War II. Roman Polanski Adrien Brody Thomas Kretschmann Frank Finlay Emilia Fox R 2002
39,Gladiator,Gladiator A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery. Ridley Scott Russell Crowe Joaquin Phoenix Connie Nielsen Oliver Reed UA 2000
40,American History X,American History X A former neo-nazi skinhead tries to prevent his younger brother from going down the same wrong path that he did. Tony Kaye Edward Norton Edward Furlong Beverly D'Angelo Jennifer Lien R 1998
41,The Usual Suspects,"The Usual Suspects A sole survivor tells of the twisty events leading up to a horrific gun battle on a boat, which began when five criminals met at a seemingly random police lineup. Bryan Singer Kevin Spacey Gabriel Byrne Chazz Palminteri Stephen Baldwin A 1995"
42,Léon,"Léon Mathilda, a 12-year-old girl, is reluctantly taken in by Léon, a professional assassin, after her family is murdered. An unusual relationship forms as she becomes his protégée and learns the assassin's trade. Luc Besson Jean Reno Gary Oldman Natalie Portman Danny Aiello A 1994"
43,The Lion King,"The Lion King Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself. Roger Allers Rob Minkoff Matthew Broderick Jeremy Irons James Earl Jones U 1994"
44,Terminator 2: Judgment Day,"Terminator 2: Judgment Day A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her teenage son, John Connor, from a more advanced and powerful cyborg. James Cameron Arnold Schwarzenegger Linda Hamilton Edward Furlong Robert Patrick U 1991"
45,Nuovo Cinema Paradiso,Nuovo Cinema Paradiso A filmmaker recalls his childhood when falling in love with the pictures at the cinema of his home village and forms a deep friendship with the cinema's projectionist. Giuseppe Tornatore Philippe Noiret Enzo Cannavale Antonella Attili Isa Danieli U 1988
46,Hotaru no haka,Hotaru no haka A young boy and his little sister struggle to survive in Japan during World War II. Isao Takahata Tsutomu Tatsumi Ayano Shiraishi Akemi Yamaguchi Yoshiko Shinohara U 1988
47,Back to the Future,"Back to the Future Marty McFly, a 17-year-old high school student, is accidentally sent thirty years into the past in a time-traveling DeLorean invented by his close friend, the eccentric scientist Doc Brown. Robert Zemeckis Michael J. Fox Christopher Lloyd Lea Thompson Crispin Glover U 1985"
48,Once Upon a Time in the West,Once Upon a Time in the West A mysterious stranger with a harmonica joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad. Sergio Leone Henry Fonda Charles Bronson Claudia Cardinale Jason Robards U 1968
49,Psycho,"Psycho A Phoenix secretary embezzles $40,000 from her employer's client, goes on the run, and checks into a remote motel run by a young man under the domination of his mother. Alfred Hitchcock Anthony Perkins Janet Leigh Vera Miles John Gavin A 1960"
50,Casablanca,Casablanca A cynical expatriate American cafe owner struggles to decide whether or not to help his former lover and her fugitive husband escape the Nazis in French Morocco. Michael Curtiz Humphrey Bogart Ingrid Bergman Paul Henreid Claude Rains U 1942
51,Modern Times,Modern Times The Tramp struggles to live in modern industrial society with the help of a young homeless woman. Charles Chaplin Charles Chaplin Paulette Goddard Henry Bergman Tiny Sandford G 1936
52,City Lights,"City Lights With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically. Charles Chaplin Charles Chaplin Virginia Cherrill Florence Lee Harry Myers G 1931"
53,Capharnaüm,"Capharnaüm While serving a five-year sentence for a violent crime, a 12-year-old boy sues his parents for neglect. Nadine Labaki Zain Al Rafeea Yordanos Shiferaw Boluwatife Treasure Bankole Kawsar Al Haddad A 2018"
54,Ayla: The Daughter of War,"Ayla: The Daughter of War In 1950, amid-st the ravages of the Korean War, Sergeant Süleyman stumbles upon a half-frozen little girl, with no parents and no help in sight. Frantic, scared and on the verge of death, ...                See full summary » Can Ulkay Erdem Can Çetin Tekindor Ismail Hacioglu Kyung-jin Lee nan 2017"
55,Vikram Vedha,"Vikram Vedha Vikram, a no-nonsense police officer, accompanied by Simon, his partner, is on the hunt to capture Vedha, a smuggler and a murderer. Vedha tries to change Vikram's life, which leads to a conflict. Gayatri Pushkar Madhavan Vijay Sethupathi Shraddha Srinath UA 2017"
56,Kimi no na wa.,"Kimi no na wa. Two strangers find themselves linked in a bizarre way. When a connection forms, will distance be the only thing to keep them apart? Makoto Shinkai Ryûnosuke Kamiki Mone Kamishiraishi Ryô Narita Aoi Yûki U 2016"
57,Dangal,Dangal Former wrestler Mahavir Singh Phogat and his two wrestler daughters struggle towards glory at the Commonwealth Games in the face of societal oppression. Nitesh Tiwari Aamir Khan Sakshi Tanwar Fatima Sana Shaikh Sanya Malhotra U 2016
58,Spider-Man: Into the Spider-Verse,"Spider-Man: Into the Spider-Verse Teen Miles Morales becomes the Spider-Man of his universe, and must join with five spider-powered individuals from other dimensions to stop a threat for all realities. Bob Persichetti Peter Ramsey Rodney Rothman Shameik Moore Jake Johnson U 2018"
59,Avengers: Endgame,"Avengers: Endgame After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe. Anthony Russo Joe Russo Robert Downey Jr. Chris Evans Mark Ruffalo UA 2019"
60,Avengers: Infinity War,Avengers: Infinity War The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe. Anthony Russo Joe Russo Robert Downey Jr. Chris Hemsworth Mark Ruffalo UA 2018
61,Coco,"Coco Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer. Lee Unkrich Adrian Molina Anthony Gonzalez Gael García Bernal Benjamin Bratt U 2017"
62,Django Unchained,"Django Unchained With the help of a German bounty hunter, a freed slave sets out to rescue his wife from a brutal Mississippi plantation owner. Quentin Tarantino Jamie Foxx Christoph Waltz Leonardo DiCaprio Kerry Washington A 2012"
63,The Dark Knight Rises,"The Dark Knight Rises Eight years after the Joker's reign of anarchy, Batman, with the help of the enigmatic Catwoman, is forced from his exile to save Gotham City from the brutal guerrilla terrorist Bane. Christopher Nolan Christian Bale Tom Hardy Anne Hathaway Gary Oldman UA 2012"
64,3 Idiots,"3 Idiots Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them ""idiots"". Rajkumar Hirani Aamir Khan Madhavan Mona Singh Sharman Joshi UA 2009"
65,Taare Zameen Par,"Taare Zameen Par An eight-year-old boy is thought to be a lazy trouble-maker, until the new art teacher has the patience and compassion to discover the real problem behind his struggles in school. Aamir Khan Amole Gupte Darsheel Safary Aamir Khan Tisca Chopra U 2007"
66,WALL·E,"WALL·E In the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind. Andrew Stanton Ben Burtt Elissa Knight Jeff Garlin Fred Willard U 2008"
67,The Lives of Others,"The Lives of Others In 1984 East Berlin, an agent of the secret police, conducting surveillance on a writer and his lover, finds himself becoming increasingly absorbed by their lives. Florian Henckel von Donnersmarck Ulrich Mühe Martina Gedeck Sebastian Koch Ulrich Tukur A 2006"
68,Oldeuboi,"Oldeuboi After being kidnapped and imprisoned for fifteen years, Oh Dae-Su is released, only to find that he must find his captor in five days. Chan-wook Park Choi Min-sik Yoo Ji-Tae Kang Hye-jeong Kim Byeong-Ok A 2003"
69,Memento,Memento A man with short-term memory loss attempts to track down his wife's murderer. Christopher Nolan Guy Pearce Carrie-Anne Moss Joe Pantoliano Mark Boone Junior UA 2000
70,Mononoke-hime,"Mononoke-hime On a journey to find the cure for a Tatarigami's curse, Ashitaka finds himself in the middle of a war between the forest gods and Tatara, a mining colony. In this quest he also meets San, the Mononoke Hime. Hayao Miyazaki Yôji Matsuda Yuriko Ishida Yûko Tanaka Billy Crudup U 1997"
71,Once Upon a Time in America,"Once Upon a Time in America A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan over thirty years later, where he once again must confront the ghosts and regrets of his old life. Sergio Leone Robert De Niro James Woods Elizabeth McGovern Treat Williams A 1984"
72,Raiders of the Lost Ark,"Raiders of the Lost Ark In 1936, archaeologist and adventurer Indiana Jones is hired by the U.S. government to find the Ark of the Covenant before Adolf Hitler's Nazis can obtain its awesome powers. Steven Spielberg Harrison Ford Karen Allen Paul Freeman John Rhys-Davies A 1981"
73,The Shining,"The Shining A family heads to an isolated hotel for the winter where a sinister presence influences the father into violence, while his psychic son sees horrific forebodings from both past and future. Stanley Kubrick Jack Nicholson Shelley Duvall Danny Lloyd Scatman Crothers A 1980"
74,Apocalypse Now,Apocalypse Now A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god. Francis Ford Coppola Martin Sheen Marlon Brando Robert Duvall Frederic Forrest R 1979
75,Alien,"Alien After a space merchant vessel receives an unknown transmission as a distress call, one of the crew is attacked by a mysterious life form and they soon realize that its life cycle has merely begun. Ridley Scott Sigourney Weaver Tom Skerritt John Hurt Veronica Cartwright R 1979"
76,Anand,"Anand The story of a terminally ill man who wishes to live life to the fullest before the inevitable occurs, as told by his best friend. Hrishikesh Mukherjee Rajesh Khanna Amitabh Bachchan Sumita Sanyal Ramesh Deo U 1971"
77,Tengoku to jigoku,Tengoku to jigoku An executive of a shoe company becomes a victim of extortion when his chauffeur's son is kidnapped and held for ransom. Akira Kurosawa Toshirô Mifune Yutaka Sada Tatsuya Nakadai Kyôko Kagawa nan 1963
78,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb An insane general triggers a path to nuclear holocaust that a War Room full of politicians and generals frantically tries to stop. Stanley Kubrick Peter Sellers George C. Scott Sterling Hayden Keenan Wynn A 1964
79,Witness for the Prosecution,Witness for the Prosecution A veteran British barrister must defend his client in a murder trial that has surprise after surprise. Billy Wilder Tyrone Power Marlene Dietrich Charles Laughton Elsa Lanchester U 1957
80,Paths of Glory,"Paths of Glory After refusing to attack an enemy position, a general accuses the soldiers of cowardice and their commanding officer must defend them. Stanley Kubrick Kirk Douglas Ralph Meeker Adolphe Menjou George Macready A 1957"
81,Rear Window,Rear Window A wheelchair-bound photographer spies on his neighbors from his apartment window and becomes convinced one of them has committed murder. Alfred Hitchcock James Stewart Grace Kelly Wendell Corey Thelma Ritter U 1954
82,Sunset Blvd.,Sunset Blvd. A screenwriter develops a dangerous relationship with a faded film star determined to make a triumphant return. Billy Wilder William Holden Gloria Swanson Erich von Stroheim Nancy Olson Passed 1950
83,The Great Dictator,The Great Dictator Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime. Charles Chaplin Charles Chaplin Paulette Goddard Jack Oakie Reginald Gardiner Passed 1940
84,1917,"1917 April 6th, 1917. As a regiment assembles to wage war deep in enemy territory, two soldiers are assigned to race against time and deliver a message that will stop 1,600 men from walking straight into a deadly trap. Sam Mendes Dean-Charles Chapman George MacKay Daniel Mays Colin Firth R 2019"
85,Tumbbad,Tumbbad A mythological story about a goddess who created the entire universe. The plot revolves around the consequences when humans build a temple for her first-born. Rahi Anil Barve Anand Gandhi Adesh Prasad Sohum Shah Jyoti Malshe A 2018
86,Andhadhun,"Andhadhun A series of mysterious events change the life of a blind pianist, who must now report a crime that he should technically know nothing of. Sriram Raghavan Ayushmann Khurrana Tabu Radhika Apte Anil Dhawan UA 2018"
87,Drishyam,Drishyam A man goes to extreme lengths to save his family from punishment after the family commits an accidental crime. Jeethu Joseph Mohanlal Meena Asha Sharath Ansiba U 2013
88,Jagten,"Jagten A teacher lives a lonely life, all the while struggling over his son's custody. His life slowly gets better as he finds love and receives good news from his son, but his new luck is about to be brutally shattered by an innocent little lie. Thomas Vinterberg Mads Mikkelsen Thomas Bo Larsen Annika Wedderkopp Lasse Fogelstrøm R 2012"
89,Jodaeiye Nader az Simin,Jodaeiye Nader az Simin A married couple are faced with a difficult decision - to improve the life of their child by moving to another country or to stay in Iran and look after a deteriorating parent who has Alzheimer's disease. Asghar Farhadi Payman Maadi Leila Hatami Sareh Bayat Shahab Hosseini PG-13 2011
90,Incendies,Incendies Twins journey to the Middle East to discover their family history and fulfill their mother's last wishes. Denis Villeneuve Lubna Azabal Mélissa Désormeaux-Poulin Maxim Gaudette Mustafa Kamel R 2010
91,Miracle in cell NO.7,Miracle in cell NO.7 A story of love between a mentally-ill father who was wrongly accused of murder and his lovely six years old daughter. The prison would be their home. Based on the 2013 Korean movie 7-beon-bang-ui seon-mul (2013). Mehmet Ada Öztekin Aras Bulut Iynemli Nisa Sofiya Aksongur Deniz Baysal Celile Toyon Uysal TV-14 2019
92,Babam ve Oglum,Babam ve Oglum The family of a left-wing journalist is torn apart after the military coup of Turkey in 1980. Çagan Irmak Çetin Tekindor Fikret Kuskan Hümeyra Ege Tanman nan 2005
93,Inglourious Basterds,"Inglourious Basterds In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same. Quentin Tarantino Brad Pitt Diane Kruger Eli Roth Mélanie Laurent A 2009"
94,Eternal Sunshine of the Spotless Mind,"Eternal Sunshine of the Spotless Mind When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories. Michel Gondry Jim Carrey Kate Winslet Tom Wilkinson Gerry Robert Byrne UA 2004"
95,Amélie,"Amélie Amélie is an innocent and naive girl in Paris with her own sense of justice. She decides to help those around her and, along the way, discovers love. Jean-Pierre Jeunet Audrey Tautou Mathieu Kassovitz Rufus Lorella Cravotta U 2001"
96,Snatch,"Snatch Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond. Guy Ritchie Jason Statham Brad Pitt Benicio Del Toro Dennis Farina UA 2000"
97,Requiem for a Dream,Requiem for a Dream The drug-induced utopias of four Coney Island people are shattered when their addictions run deep. Darren Aronofsky Ellen Burstyn Jared Leto Jennifer Connelly Marlon Wayans A 2000
98,American Beauty,American Beauty A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter's best friend. Sam Mendes Kevin Spacey Annette Bening Thora Birch Wes Bentley UA 1999
99,Good Will Hunting,"Good Will Hunting Will Hunting, a janitor at M.I.T., has a gift for mathematics, but needs help from a psychologist to find direction in his life. Gus Van Sant Robin Williams Matt Damon Ben Affleck Stellan Skarsgård U 1997"
100,Bacheha-Ye aseman,"Bacheha-Ye aseman After a boy loses his sister's pair of shoes, he goes on a series of adventures in order to find them. When he can't, he tries a new way to ""win"" a new pair. Majid Majidi Mohammad Amir Naji Amir Farrokh Hashemian Bahare Seddiqi Nafise Jafar-Mohammadi PG 1997"
101,Toy Story,Toy Story A cowboy doll is profoundly threatened and jealous when a new spaceman figure supplants him as top toy in a boy's room. John Lasseter Tom Hanks Tim Allen Don Rickles Jim Varney U 1995
102,Braveheart,Braveheart Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from the tyranny of King Edward I of England. Mel Gibson Mel Gibson Sophie Marceau Patrick McGoohan Angus Macfadyen A 1995
103,Reservoir Dogs,"Reservoir Dogs When a simple jewelry heist goes horribly wrong, the surviving criminals begin to suspect that one of them is a police informant. Quentin Tarantino Harvey Keitel Tim Roth Michael Madsen Chris Penn R 1992"
104,Full Metal Jacket,Full Metal Jacket A pragmatic U.S. Marine observes the dehumanizing effects the Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue. Stanley Kubrick Matthew Modine R. Lee Ermey Vincent D'Onofrio Adam Baldwin UA 1987
105,Idi i smotri,"Idi i smotri After finding an old rifle, a young boy joins the Soviet resistance movement against ruthless German forces and experiences the horrors of World War II. Elem Klimov Aleksey Kravchenko Olga Mironova Liubomiras Laucevicius Vladas Bagdonas A 1985"
106,Aliens,"Aliens Fifty-seven years after surviving an apocalyptic attack aboard her space vessel by merciless space creatures, Officer Ripley awakens from hyper-sleep and tries to warn anyone who will listen about the predators. James Cameron Sigourney Weaver Michael Biehn Carrie Henn Paul Reiser U 1986"
107,Amadeus,"Amadeus The life, success and troubles of Wolfgang Amadeus Mozart, as told by Antonio Salieri, the contemporaneous composer who was insanely jealous of Mozart's talent and claimed to have murdered him. Milos Forman F. Murray Abraham Tom Hulce Elizabeth Berridge Roy Dotrice R 1984"
108,Scarface,"Scarface In 1980 Miami, a determined Cuban immigrant takes over a drug cartel and succumbs to greed. Brian De Palma Al Pacino Michelle Pfeiffer Steven Bauer Mary Elizabeth Mastrantonio A 1983"
109,Star Wars: Episode VI - Return of the Jedi,"Star Wars: Episode VI - Return of the Jedi After a daring mission to rescue Han Solo from Jabba the Hutt, the Rebels dispatch to Endor to destroy the second Death Star. Meanwhile, Luke struggles to help Darth Vader back from the dark side without falling into the Emperor's trap. Richard Marquand Mark Hamill Harrison Ford Carrie Fisher Billy Dee Williams U 1983"
110,Das Boot,"Das Boot The claustrophobic world of a WWII German U-boat; boredom, filth and sheer terror. Wolfgang Petersen Jürgen Prochnow Herbert Grönemeyer Klaus Wennemann Hubertus Bengsch R 1981"
111,Taxi Driver,"Taxi Driver A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action by attempting to liberate a presidential campaign worker and an underage prostitute. Martin Scorsese Robert De Niro Jodie Foster Cybill Shepherd Albert Brooks A 1976"
112,The Sting,The Sting Two grifters team up to pull off the ultimate con. George Roy Hill Paul Newman Robert Redford Robert Shaw Charles Durning U 1973
113,A Clockwork Orange,"A Clockwork Orange In the future, a sadistic gang leader is imprisoned and volunteers for a conduct-aversion experiment, but it doesn't go as planned. Stanley Kubrick Malcolm McDowell Patrick Magee Michael Bates Warren Clarke A 1971"
114,2001: A Space Odyssey,"2001: A Space Odyssey After discovering a mysterious artifact buried beneath the Lunar surface, mankind sets off on a quest to find its origins with help from intelligent supercomputer H.A.L. 9000. Stanley Kubrick Keir Dullea Gary Lockwood William Sylvester Daniel Richter U 1968"
115,Per qualche dollaro in più,Per qualche dollaro in più Two bounty hunters with the same intentions team up to track down a Western outlaw. Sergio Leone Clint Eastwood Lee Van Cleef Gian Maria Volontè Mara Krupp U 1965
116,Lawrence of Arabia,"Lawrence of Arabia The story of T.E. Lawrence, the English officer who successfully united and led the diverse, often warring, Arab tribes during World War I in order to fight the Turks. David Lean Peter O'Toole Alec Guinness Anthony Quinn Jack Hawkins U 1962"
117,The Apartment,"The Apartment A man tries to rise in his company by letting its executives use his apartment for trysts, but complications and a romance of his own ensue. Billy Wilder Jack Lemmon Shirley MacLaine Fred MacMurray Ray Walston U 1960"
118,North by Northwest,North by Northwest A New York City advertising executive goes on the run after being mistaken for a government agent by a group of foreign spies. Alfred Hitchcock Cary Grant Eva Marie Saint James Mason Jessie Royce Landis U 1959
